Country Name,Country Code,Series,Series Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Slovenia,SVN,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",UIS.ROFST.2T3.CP,8.48904,7.2842,6.72385,6.05178,5.91172,6.62044,6.07789,5.27976,5.74293,5.76258,4.9981,4.21318,3.99355,4.09373,2.93086,3.41093,2.12919,2.82662,2.54302,1.74067,..,..,..,..,..,..
Slovenia,SVN,"Out-of-school rate for youth of upper secondary school age, both sexes (%)",UIS.ROFST.3.CP,12.15052,10.752,10.02217,9.7214,8.36095,8.99784,8.33144,7.57155,7.69572,8.88825,8.17648,6.44036,5.69079,4.80742,3.78508,5.19281,3.30241,4.10093,3.83653,1.84871,..,..,..,..,..,..
Slovenia,SVN,"Out-of-school rate for youth of upper secondary school age, both sexes (household survey data) (%)",UIS.ROFST.H.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,ESP,"Enrolment in upper secondary education, both sexes (number)",UIS.E.3,1401010,1197219,1189062,1145885,1080821,1072419,1125033,1113778,1114006,1107563,1102355,1173671,1228342,1256402,1632885,1662580,1688334,1706806,1696666,1708783,..,..,..,..,..,..
Spain,ESP,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,739162,634983,625066,607397,565234,562446,591789,585870,588307,579292,567343,593322,611600,623164,812254,822296,834304,847098,847456,853853,..,..,..,..,..,..
Spain,ESP,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,661848,562236,563996,538488,515587,509973,533244,527908,525699,528271,535012,580349,616742,633238,820631,840284,854030,859708,849210,854930,..,..,..,..,..,..
Spain,ESP,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,125.13889,112.24609,116.00729,114.81434,110.95255,113.11601,121.79135,122.81481,122.56653,121.37703,120.55409,128.53921,135.15373,139.05897,121.33607,123.87872,126.27958,128.3556,128.21079,129.88295,..,..,..,..,..,..
Spain,ESP,"Gross enrolment ratio, upper secondary, female (%)",SE.SEC.ENRR.UP.FE,135.66663,122.50436,125.68132,125.3911,119.54402,122.2629,132.09723,133.22312,133.39871,130.85312,128.04036,134.31901,139.17302,142.23007,124.02585,125.6826,127.96074,130.77,131.46496,133.2929,..,..,..,..,..,..
Spain,ESP,"Gross enrolment ratio, upper secondary, male (%)",SE.SEC.ENRR.UP.MA,115.15868,102.54785,106.88889,104.83947,102.84917,104.4941,112.08657,113.01578,112.35646,112.44737,113.51594,123.12276,131.39083,136.0734,118.78621,122.16289,124.67937,126.06225,125.12008,126.6471,..,..,..,..,..,..
Spain,ESP,"Total net enrolment rate, upper secondary, both sexes (%)",UIS.NERT.3,78.73422,81.20977,82.85084,82.93473,83.00184,84.42731,86.97217,87.21049,87.08965,86.60961,87.24004,89.16836,88.61856,88.95521,90.35061,90.13399,91.29831,93.56269,96.17385,98.3443,..,..,..,..,..,..
